Gene.identifier	RefSeq.ID	Gene.Symbol	Entrez.Gene	Alternate.Gene.Symbols	Gene.Description	X	MouseGene
ENSG00000130699	NM_003185	TAF4	6874	TAF2C, TAF4A, TAF2C1, FLJ41943, TAFII130,TAFII135	TAF4 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 135kDa (TAF4), mRNA.	G0/1 arrest	Taf4
ENSG00000115233	NM_005805	PSMD14	10213	PAD1, POH1, rpn11	proteasome (prosome, macropain) 26S subunit, non-ATPase, 14 (PSMD14), mRNA.	G0/1 arrest	Psmd14
ENSG00000100522	NM_198066	GNPNAT1	64841	GNPNAT, Gpnat1, FLJ10607	glucosamine-phosphate N-acetyltransferase 1 (GNPNAT1), mRNA.	G0/1 arrest	Gnpnat1
ENSG00000185624	NM_000918	P4HB	5034	DSI, GIT, PDI, PDIA1, PO4DB, PO4HB,PROHB, ERBA2L	procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), beta polypeptide (P4HB), mRNA.	G0/1 arrest	P4hb
ENSG00000067900	NM_005406	ROCK1	6093	MGC43611, P160ROCK, MGC131603	Rho-associated, coiled-coil containing protein kinase 1 (ROCK1), mRNA.	G0/1 arrest	Rock1
ENSG00000102805	NM_006493	CLN5	1203	NCL	ceroid-lipofuscinosis, neuronal 5 (CLN5), mRNA.	G0/1 arrest	Cln5
ENSG00000068394	NM_015698	GPKOW	27238	T54, GPATC5	G patch domain and KOW motifs (GPKOW), mRNA.	G0/1 arrest	Gpkow
ENSG00000176387	NM_000196	HSD11B2	3291	AME, AME1, HSD2, HSD11K	hydroxysteroid (11-beta) dehydrogenase 2 (HSD11B2), mRNA.	G0/1 arrest	Hsd11b2
ENSG00000163642	XR_019133,XR_017284	PFN2	646903	LOC646903	PREDICTED: hypothetical LOC646903 (LOC646903), mRNA.	G0/1 arrest	Pfn2
ENSG00000100058	NM_000496	CRYBB2	1415	CCA2, CRYB2, CRYB2A, D22S665	crystallin, beta B2 (CRYBB2), mRNA.	G0/1 arrest	Crybb2
ENSG00000189369	NM_018094	GSPT2	23708	GST2, eRF3b, FLJ10441	G1 to S phase transition 2 (GSPT2), mRNA.	G0/1 arrest	Gspt2
ENSG00000108924	NM_002126	HLF	3131		hepatic leukemia factor (HLF), mRNA.	G0/1 arrest	Hlf
ENSG00000196735	NM_002122	HLA-DQA1	3117	CD, GSE, DQ-A1, CELIAC1, HLA-DQA, HLADQA1	major histocompatibility complex, class II, DQ alpha 1 (HLA-DQA1), mRNA.	G0/1 arrest	H2-Aa
ENSG00000107242	NM_003558	PIP5K1B	8395	MSS4, STM7	phosphatidylinositol-4-phosphate 5-kinase, type I, beta (PIP5K1B), transcript variant 2, mRNA.	G0/1 arrest	Pip5k1b
ENSG00000163618	NM_183394,NM_183393	CADPS	8618	CAPS, CAPS1, KIAA1121	Ca2+-dependent secretion activator (CADPS), transcript variant 2, mRNA.	G0/1 arrest	Cadps
ENSG00000185459	NM_145808	MTPN	136319	V-1, GCDP, FLJ31098	myotrophin (MTPN), mRNA.	G0/1 arrest	Mtpn
ENSG00000167085	NM_002634	PHB	5245		prohibitin (PHB), mRNA.	G0/1 arrest	Phb
ENSG00000166471	NM_015012	TMEM41B	440026	KIAA0033, MGC33897, MGC57262	transmembrane protein 41B (TMEM41B), mRNA.	G0/1 arrest	Tmem41b
ENSG00000157093	NM_144634	LYZL4	131375	LYC4, MGC26768, 1810009N24Rik	lysozyme-like 4 (LYZL4), mRNA.	G0/1 arrest	Lyzl4
ENSG00000148082	NM_016848	SHC3	53358	NSHC, SHCC, N-Shc	SHC (Src homology 2 domain containing) transforming protein 3 (SHC3), mRNA.	G0/1 arrest	Shc3
ENSG00000111968	NM_001320	CSNK2B	1460	G5A, CK2B, CK2N, CSK2B, MGC138222,MGC138224	casein kinase 2, beta polypeptide (CSNK2B), mRNA.	G0/1 arrest	Csnk2b
ENSG00000167653	NM_005672	PSCA	8000	PRO232	prostate stem cell antigen (PSCA), mRNA.	G0/1 arrest	Psca
ENSG00000174175	NM_003005	SELP	6403	CD62, GRMP, PSEL, CD62P, GMP140, PADGEM,FLJ45155	selectin P (granule membrane protein 140kDa, antigen CD62) (SELP), mRNA.	G0/1 arrest	Selp
ENSG00000111144	NM_000895	LTA4H	4048		leukotriene A4 hydrolase (LTA4H), mRNA.	G0/1 arrest	Lta4h
ENSG00000161921	NM_022059	CXCL16	58191	SRPSOX, CXCLG16, SR-PSOX	chemokine (C-X-C motif) ligand 16 (CXCL16), mRNA.	G0/1 arrest	Cxcl16
ENSG00000134444	NM_020854	KIAA1468	57614	HsT885, HsT3308, FLJ33841	KIAA1468 (KIAA1468), mRNA.	G0/1 arrest	2310035C23Rik
ENSG00000141562	NM_001038618	NARF	26502	FLJ10067, DKFZp434G0420	nuclear prelamin A recognition factor (NARF), transcript variant 3, mRNA.	G0/1 arrest	Narf
ENSG00000198276	NM_017859	UCKL1	54963	URKL1	uridine-cytidine kinase 1-like 1 (UCKL1), mRNA.	G0/1 arrest	Uckl1
ENSG00000165392	NM_000553	WRN	7486	RECQ3, RECQL2, RECQL3, DKFZp686C2056	Werner syndrome (WRN), mRNA.	G0/1 arrest	Wrn
ENSG00000115825	NM_005813	PRKD3	23683	EPK2, PKD3, PRKCN, PKC-NU, nPKC-NU	protein kinase D3 (PRKD3), mRNA.	G0/1 arrest	Prkd3
ENSG00000185627	NM_002817	PSMD13	5719	p40.5, HSPC027	proteasome (prosome, macropain) 26S subunit, non-ATPase, 13 (PSMD13), transcript variant 1, mRNA.	G0/1 arrest	Psmd13
ENSG00000155850	NM_000112	SLC26A2	1836	DTD, EDM4, DTDST, MST153, D5S1708,MSTP157	solute carrier family 26 (sulfate transporter), member 2 (SLC26A2), mRNA.	G0/1 arrest	Slc26a2
ENSG00000079263	NM_007237	SP140	11262	LYSP100-A, LYSP100-B	SP140 nuclear body protein (SP140), transcript variant 1, mRNA.	G0/1 arrest	Sp140
ENSG00000070770	NM_001896	CSNK2A2	1459	CK2A2, CSNK2A1	casein kinase 2, alpha prime polypeptide (CSNK2A2), mRNA.	G0/1 arrest	Csnk2a2
ENSG00000175818	NM_153612	HS3ST5	222537	3OST5, 3-OST-5, HS3OST5	heparan sulfate (glucosamine) 3-O-sulfotransferase 5 (HS3ST5), mRNA.	G0/1 arrest	Hs3st5
ENSG00000087191	NM_002805	PSMC5	5705	S8, p45, SUG1, TBP10, TRIP1, p45/SUG	proteasome (prosome, macropain) 26S subunit, ATPase, 5 (PSMC5), mRNA.	G0/1 arrest	Psmc5
ENSG00000170653	NM_006856	ATF7	11016	ATFA, MGC57182	activating transcription factor 7 (ATF7), mRNA.	G0/1 arrest	Atf7
ENSG00000145743	NM_022824	FBXL17	64839	Fbl17, Fbx13, FBXO13, DKFZp434C1715	F-box and leucine-rich repeat protein 17 (FBXL17), mRNA.	G0/1 arrest	Fbxl17
ENSG00000168291	NM_000925	PDHB	5162	PHE1B, DKFZp564K0164	pyruvate dehydrogenase (lipoamide) beta (PDHB), mRNA.	G0/1 arrest	Pdhb
ENSG00000164924	NM_003406	YWHAZ	7534	KCIP-1, MGC111427, MGC126532, MGC138156	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide (YWHAZ), transcript variant 1, mRNA.	G0/1 arrest	Ywhaz
ENSG00000078061	NM_001654	ARAF	369	PKS2, A-RAF, ARAF1, RAFA1	v-raf murine sarcoma 3611 viral oncogene homolog (ARAF), mRNA.	G0/1 arrest	Araf
ENSG00000165121	NM_017576	KIF27	55582	RP11-575L7.3, DKFZp434D0917	kinesin family member 27 (KIF27), mRNA.	G0/1 arrest	Kif27
ENSG00000072864	NM_017668	NDE1	54820	NUDE, NUDE1, FLJ20101, HOM-TES-87	nudE nuclear distribution gene E homolog 1 (A. nidulans) (NDE1), mRNA.	G0/1 arrest	Nde1
ENSG00000069248	NM_018230	NUP133	55746	hNUP133, FLJ10814, MGC21133	nucleoporin 133kDa (NUP133), mRNA.	G0/1 arrest	Nup133
ENSG00000182923	NM_025180	CEP63	80254	FLJ13386	centrosomal protein 63kDa (CEP63), mRNA.	G0/1 arrest	Cep63
ENSG00000165304	NM_014791	MELK	9833	HPK38, KIAA0175	maternal embryonic leucine zipper kinase (MELK), mRNA.	G0/1 arrest	Melk
ENSG00000051825	NM_022782	MPHOSPH9	10198	MPP9, MPP-9, FLJ12954, DKFZp434J034	M-phase phosphoprotein 9 (MPHOSPH9), mRNA.	G0/1 arrest	Mphosph9
ENSG00000148688	NM_006413	RPP30	10556	TSG15, RP11-320F15.1	ribonuclease P/MRP 30kDa subunit (RPP30), mRNA.	G0/1 arrest	Rpp30
ENSG00000100478	NM_007077	AP4S1	11154	AP47B, CLA20, CLAPS4, FLJ32366	adaptor-related protein complex 4, sigma 1 subunit (AP4S1), mRNA.	G0/1 arrest	Ap4s1
ENSG00000035664	NM_014326	DAPK2	23604	DRP-1, MGC119312	death-associated protein kinase 2 (DAPK2), mRNA.	G0/1 arrest	Dapk2
ENSG00000102226	NM_004651	USP11	8237	UHX1	ubiquitin specific peptidase 11 (USP11), mRNA.	G0/1 arrest	Usp11
ENSG00000147862	NM_005596	NFIB	4781	NFIB2, NFIB3, NFI-RED	nuclear factor I/B (NFIB), mRNA.	G0/1 arrest	Nfib
ENSG00000149257	NM_001235	SERPINH1	871	CBP1, CBP2, gp46, AsTP3, HSP47, PIG14,RA-A47, SERPINH2	serpin peptidase inhibitor, clade H (heat shock protein 47), member 1, (collagen binding protein 1) (SERPINH1), mRNA.	G0/1 arrest	Serpinh1
ENSG00000018625	NM_000702	ATP1A2	477	FHM2, MHP2, MGC59864	ATPase, Na+/K+ transporting, alpha 2 (+) polypeptide (ATP1A2), mRNA.	G0/1 arrest	Atp1a2
ENSG00000147402	NM_018558	GABRQ	55879	THETA, MGC129629, MGC129630	gamma-aminobutyric acid (GABA) receptor, theta (GABRQ), mRNA.	G0/1 arrest	Gabrq
ENSG00000176533	NM_052847	GNG7	2788	FLJ00058	guanine nucleotide binding protein (G protein), gamma 7 (GNG7), mRNA.	G0/1 arrest	Gng7
ENSG00000023608	NM_003082	SNAPC1	6617	SNAP43, PTFgamma	small nuclear RNA activating complex, polypeptide 1, 43kDa (SNAPC1), mRNA.	G0/1 arrest	Snapc1
ENSG00000173660	NM_006004	UQCRH	7388	MGC111572	ubiquinol-cytochrome c reductase hinge protein (UQCRH), mRNA.	G0/1 arrest	Uqcrh-ps1
ENSG00000166704	NM_025027	ZNF606	80095	ZNF328, FLJ14260, KIAA1852	zinc finger protein 606 (ZNF606), mRNA.	G0/1 arrest	Zfp606
ENSG00000135636	NM_003494	DYSF	8291	FER1L1, LGMD2B, FLJ00175, FLJ90168	dysferlin, limb girdle muscular dystrophy 2B (autosomal recessive) (DYSF), mRNA.	G0/1 arrest	Dysf
ENSG00000168806	NM_014793	LCMT2	9836	PPM2, TYW4, MGC9534, KIAA0547	leucine carboxyl methyltransferase 2 (LCMT2), mRNA.	G0/1 arrest	Lcmt2
ENSG00000111581	NM_020401	NUP107	57122	NUP84	nucleoporin 107kDa (NUP107), mRNA.	G0/1 arrest	Nup107
ENSG00000058262	NM_013336	SEC61A1	29927	SEC61, HSEC61, SEC61A	Sec61 alpha 1 subunit (S. cerevisiae) (SEC61A1), mRNA.	G0/1 arrest	Sec61a1
ENSG00000127022	NM_001746	CANX	821	CNX, P90, IP90, FLJ26570	calnexin (CANX), transcript variant 1, mRNA.	G0/1 arrest	Canx
ENSG00000164900	XM_373219	GBX1	2636		gastrulation brain homeobox 1 	G0/1 arrest	Gbx1
ENSG00000103035	NM_002811	PSMD7	5713	P40, S12, MOV34	proteasome (prosome, macropain) 26S subunit, non-ATPase, 7 (Mov34 homolog) (PSMD7), mRNA.	G0/1 arrest	Psmd7
ENSG00000131748	NM_006804	STARD3	10948	CAB1, es64, MLN64	START domain containing 3 (STARD3), mRNA.	G0/1 arrest	Stard3
ENSG00000159459	NM_174916	UBR1	197131	JBS, MGC142065, MGC142067	ubiquitin protein ligase E3 component n-recognin 1 (UBR1), mRNA.	G0/1 arrest	Ubr1
ENSG00000145996	NM_017774	CDKAL1	54901	FLJ20342, FLJ46705, MGC75469	CDK5 regulatory subunit associated protein 1-like 1 (CDKAL1), mRNA.	G0/1 arrest	Cdkal1
ENSG00000168575	NM_006749	SLC20A2	6575	GLVR2, MLVAR, PIT-2, Glvr-2	solute carrier family 20 (phosphate transporter), member 2 (SLC20A2), mRNA.	G0/1 arrest	Slc20a2
ENSG00000003436	NM_006287,NM_001032281	TFPI	7035	EPI, LACI	tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor) (TFPI), transcript variant 1, mRNA.	G0/1 arrest	Tfpi
ENSG00000074935	NM_016262	TUBE1	51175	TUBE, FLJ22589, dJ142L7.2	tubulin, epsilon 1 (TUBE1), mRNA.	G0/1 arrest	Tube1
ENSG00000100813	NM_014977	ACIN1	22985	ACN, ACINUS, KIAA0670, DKFZp667N107	apoptotic chromatin condensation inducer 1 (ACIN1), mRNA.	G0/1 arrest	Acin1
ENSG00000137947	NM_001514	GTF2B	2959	TF2B, TFIIB	general transcription factor IIB (GTF2B), mRNA.	G0/1 arrest	Gtf2b
ENSG00000143753	NM_144780	DEGS1	8560	MLD, DEGS, DES1, Des-1, FADS7, MIG15,MGC5079	degenerative spermatocyte homolog 1, lipid desaturase (Drosophila) (DEGS1), transcript variant 2, mRNA.	G0/1 arrest	Degs1
ENSG00000165404	XM_376846,XM_376841,NM_033160	ZNF658	26149	FLJ32813, MGC35232, DKFZp572C163	zinc finger protein 658 (ZNF658), mRNA.	G0/1 arrest	Zfp735
ENSG00000102007	NM_002668	PLP2	5355	A4, A4-LSB, MGC126187	proteolipid protein 2 (colonic epithelium-enriched) (PLP2), mRNA.	G0/1 arrest	Plp2
ENSG00000165046	NM_144652	LETM2	137994	FLJ25409	leucine zipper-EF-hand containing transmembrane protein 2 (LETM2), mRNA.	G0/1 arrest	Letm2
ENSG00000136997	NM_002467	MYC	4609	c-Myc	v-myc myelocytomatosis viral oncogene homolog (avian) (MYC), mRNA.	G0/1 arrest	Myc
ENSG00000005882	NM_002611	PDK2	5164		pyruvate dehydrogenase kinase, isozyme 2 (PDK2), mRNA.	G0/1 arrest	Pdk2
ENSG00000103811	NM_148979	CTSH	1512	CPSB, MGC1519, minichain, DKFZp686B24257	cathepsin H (CTSH), transcript variant 2, mRNA.	G0/1 arrest	Ctsh
ENSG00000114480	NM_000158	GBE1	2632	GBE	glucan (1,4-alpha-), branching enzyme 1 (glycogen branching enzyme, Andersen disease, glycogen storage disease type IV) (GBE1), mRNA.	G0/1 arrest	Gbe1
ENSG00000090263	NM_053035	MRPS33	51650	PTD003, CGI-139, MRP-S33, FLJ21123	mitochondrial ribosomal protein S33 (MRPS33), nuclear gene encoding mitochondrial protein, transcript variant 2, mRNA.	G0/1 arrest	Mrps33
ENSG00000141127	NM_002767	PRPSAP2	5636	PAP41, MGC117304	phosphoribosyl pyrophosphate synthetase-associated protein 2 (PRPSAP2), mRNA.	G0/1 arrest	Prpsap2
ENSG00000182247	NM_152653	UBE2E2	7325	UBCH8, FLJ25157	ubiquitin-conjugating enzyme E2E 2 (UBC4/5 homolog, yeast) (UBE2E2), mRNA.	G0/1 arrest	Ube2e2
ENSG00000104660	NM_015344	LEPROTL1	23484	my047, HSPC112	leptin receptor overlapping transcript-like 1 (LEPROTL1), mRNA.	G0/1 arrest	Leprotl1
ENSG00000154767	NM_004628	XPC	7508	XP3, XPCC	xeroderma pigmentosum, complementation group C (XPC), mRNA.	G0/1 arrest	Xpc
ENSG00000106948	NM_030767	AKNA	80709	KIAA1968, RP11-82I1.4	AT-hook transcription factor (AKNA), mRNA.	G0/1 arrest	Akna
ENSG00000143799	NM_001618	PARP1	142	PARP, PPOL, ADPRT, ADPRT1, PARP-1,pADPRT-1	poly (ADP-ribose) polymerase family, member 1 (PARP1), mRNA.	G0/1 arrest	Parp1
ENSG00000103710	NM_016563	RASL12	51285	RIS	RAS-like, family 12 (RASL12), mRNA.	G0/1 arrest	Rasl12
ENSG00000122565	NM_016587	CBX3	11335	HECH, HP1-GAMMA, HP1Hs-gamma	chromobox homolog 3 (HP1 gamma homolog, Drosophila) (CBX3), transcript variant 2, mRNA.	G0/1 arrest	Cbx3
ENSG00000129514	NM_004496	FOXA1	3169	HNF3A, TCF3A, MGC33105	forkhead box A1 (FOXA1), mRNA.	G0/1 arrest	Foxa1
ENSG00000159352	NM_002810	PSMD4	5710	AF, ASF, S5A, AF-1, MCB1, Rpn10, pUB-R5	proteasome (prosome, macropain) 26S subunit, non-ATPase, 4 (PSMD4), transcript variant 1, mRNA.	G0/1 arrest	Psmd4
ENSG00000103479	NM_005611	RBL2	5934	Rb2, P130, FLJ26459	retinoblastoma-like 2 (p130) (RBL2), mRNA.	G0/1 arrest	Rbl2
ENSG00000166669	NM_024997	ATF7IP2	80063	MCAF2, FLJ12668	activating transcription factor 7 interacting protein 2 (ATF7IP2), mRNA.	G0/1 arrest	Gm24392
ENSG00000109738	NM_000824	GLRB	2743		glycine receptor, beta (GLRB), mRNA.	G0/1 arrest	Glrb
ENSG00000104381	NM_018972	GDAP1	54332	CMT4, CMT2G, CMT2K, CMT4A	ganglioside-induced differentiation-associated protein 1 (GDAP1), mRNA.	G0/1 arrest	Gdap1
ENSG00000162745	NM_015441	OLFML2B	25903	MGC51337, RP11-227F8.1	olfactomedin-like 2B (OLFML2B), mRNA.	G0/1 arrest	Olfml2b
ENSG00000034693	NM_003630	PEX3	8504	TRG18	peroxisomal biogenesis factor 3 (PEX3), mRNA.	G0/1 arrest	Pex3
ENSG00000025293	NM_016436	PHF20	51230	NZF, TZP, GLEA2, HCA58, FLJ33479,C20orf104	PHD finger protein 20 (PHF20), mRNA.	G0/1 arrest	Phf20
ENSG00000081014	NM_007347	AP4E1	23431	DKFZp686L12167	adaptor-related protein complex 4, epsilon 1 subunit (AP4E1), mRNA.	G0/1 arrest	Ap4e1
ENSG00000072756	NM_016000,NM_182916	TRNT1	51095	CCA1, MtCCA, CGI-47	tRNA nucleotidyl transferase, CCA-adding, 1 (TRNT1), transcript variant 1, mRNA.	G0/1 arrest	Trnt1
ENSG00000179542	NM_173078	SLITRK4	139065	DKFZp547M2010	SLIT and NTRK-like family, member 4 (SLITRK4), mRNA.	G0/1 arrest	Slitrk4
ENSG00000162231	NM_006362	NXF1	10482	TAP, MEX67, DKFZp667O0311	nuclear RNA export factor 1 (NXF1), mRNA.	G0/1 arrest	Nxf1
ENSG00000090924	NM_022835	PLEKHG2	64857	CLG, FLJ00018, FLJ22458	pleckstrin homology domain containing, family G (with RhoGef domain) member 2 (PLEKHG2), mRNA.	G0/1 arrest	Plekhg2
ENSG00000146250	NM_153362	PRSS35	167681	C6orf158, MGC46520, dJ223E3.1	protease, serine, 35 (PRSS35), mRNA.	G0/1 arrest	Prss35
ENSG00000145040	NM_033199	UCN2	90226	SRP, URP, UCNI, UCN-II	urocortin 2 (UCN2), mRNA.	G0/1 arrest	Ucn2
ENSG00000168374	NM_001660	ARF4	378		ADP-ribosylation factor 4 (ARF4), mRNA.	G0/1 arrest	Arf4
ENSG00000115290	NM_004490	GRB14	2888		growth factor receptor-bound protein 14 (GRB14), mRNA.	G0/1 arrest	Grb14
ENSG00000174233	NM_015270,NM_020983	ADCY6	112	KIAA0422, DKFZp779F075	adenylate cyclase 6 (ADCY6), transcript variant 1, mRNA.	G0/1 arrest	Adcy6
ENSG00000163517	NM_024827	HDAC11	79885	FLJ22237	histone deacetylase 11 (HDAC11), mRNA.	G0/1 arrest	Hdac11
ENSG00000139946	NM_021255	PELI2	57161		pellino homolog 2 (Drosophila) (PELI2), mRNA.	G0/1 arrest	Peli2
ENSG00000004838	NM_015896	ZMYND10	51364	BLU, FLU	zinc finger, MYND-type containing 10 (ZMYND10), mRNA.	G0/1 arrest	Zmynd10
ENSG00000183495	NM_015409	EP400	57634	P400, CAGH32, TNRC12, FLJ45115	E1A binding protein p400 (EP400), mRNA.	G0/1 arrest	Ep400
ENSG00000185013	NM_020905,NM_001002006,NM_033253	RDH14	57665	PAN2	retinol dehydrogenase 14 (all-trans/9-cis/11-cis) (RDH14), mRNA.	G0/1 arrest	Rdh14
ENSG00000167799	NM_181843	NUDT8	254552	FLJ41567	nudix (nucleoside diphosphate linked moiety X)-type motif 8 (NUDT8), mRNA.	G0/1 arrest	Nudt8
ENSG00000112761	NM_003880	WISP3	8838	PPD, CCN6, LIBC, PPAC, MGC125987,MGC125988, MGC125989	WNT1 inducible signaling pathway protein 3 (WISP3), transcript variant 1, mRNA.	G0/1 arrest	Wisp3
ENSG00000185051	XM_496163,XM_290714	RAB43	654052	LOC654052	PREDICTED: similar to RAB41 protein (LOC654052), mRNA.	G0/1 arrest	Rab43
ENSG00000112249	NM_006828	ASCC3	10973	RNAH, HELIC1, ASC1p200, MGC26074,DJ467N11.1, dJ121G13.4	activating signal cointegrator 1 complex subunit 3 (ASCC3), transcript variant 1, mRNA.	G0/1 arrest	Ascc3
ENSG00000090447	NM_003223	TFAP4	7023	AP-4	transcription factor AP-4 (activating enhancer binding protein 4) (TFAP4), mRNA.	G0/1 arrest	Tfap4
ENSG00000179918	NM_012248	SEPHS2	22928	SPS2	selenophosphate synthetase 2 (SEPHS2), mRNA.	G0/1 arrest	Sephs2
ENSG00000158615	NM_032833	PPP1R15B	84919	FLJ14744	protein phosphatase 1, regulatory (inhibitor) subunit 15B (PPP1R15B), mRNA.	G0/1 arrest	Ppp1r15b
ENSG00000168398	NM_000623	BDKRB2	624	B2R, BK2, BK-2, BKR2, BRB2, DKFZp686O088	bradykinin receptor B2 (BDKRB2), mRNA.	G0/1 arrest	Bdkrb2
ENSG00000079785	NM_004939	DDX1	1653	DBP-RB, UKVH5d	DEAD (Asp-Glu-Ala-Asp) box polypeptide 1 (DDX1), mRNA.	G0/1 arrest	Ddx1
ENSG00000111481	NM_016057	COPZ1	22818	COPZ, CGI-120, zeta1-COP	coatomer protein complex, subunit zeta 1 (COPZ1), mRNA.	G0/1 arrest	Copz1
ENSG00000039068	NM_004360	CDH1	999	UVO, CDHE, ECAD, LCAM, Arc-1, CD324	cadherin 1, type 1, E-cadherin (epithelial) (CDH1), mRNA.	G0/1 arrest	Cdh1
ENSG00000124208	NM_003349,NM_199203,NM_021988,NM_199129	UBE2V1	387522	Kua-UEV, CROC-1B	ubiquitin-conjugating enzyme E2 variant 1 (Kua-UEV), transcript variant 2, mRNA.	G0/1 arrest	Ube2v1
ENSG00000138688	XM_371706	KIAA1109	84162	 	PREDICTED: KIAA1109, transcript variant 1 (KIAA1109), mRNA.	G0/1 arrest	4932438A13Rik
ENSG00000163629	NM_080683,NM_006264,NM_080684	PTPN13	5783	PNP1, FAP-1, PTP1E, PTPL1, PTPLE, PTP-BL,PTP-BAS, DKFZp686J1497	protein tyrosine phosphatase, non-receptor type 13 (APO-1/CD95 (Fas)-associated phosphatase) (PTPN13), transcript variant 1, mRNA.	G0/1 arrest	Ptpn13
ENSG00000122218	NM_004371	COPA	1314	HEP-COP, FLJ26320	coatomer protein complex, subunit alpha (COPA), mRNA.	G0/1 arrest	Copa
ENSG00000104969	NM_003021	SGTA	6449	SGT, hSGT	small glutamine-rich tetratricopeptide repeat (TPR)-containing, alpha (SGTA), mRNA.	G0/1 arrest	Sgta
ENSG00000138813	NM_032149	C4orf17	84103	DKFZP434G072	chromosome 4 open reading frame 17 (C4orf17), mRNA.	G0/1 arrest	4930579F01Rik
ENSG00000112782	NM_016929	CLIC5	53405	CLIC5B, MST130, MSTP130, FLJ90663,dJ447E21.4	chloride intracellular channel 5 (CLIC5), mRNA.	G0/1 arrest	Clic5
ENSG00000053328	NM_004032,NM_003649	DDO	8528	DASOX, DDO-1, DDO-2, FLJ45203	D-aspartate oxidase (DDO), transcript variant 2, mRNA.	G0/1 arrest	Ddo
ENSG00000165795	NM_201539,NM_201538	NDRG2	57447	SYLD, KIAA1248, DKFZp781G1938	NDRG family member 2 (NDRG2), transcript variant 6, mRNA.	G0/1 arrest	Ndrg2
ENSG00000137720	NM_022761	C11orf1	64776	FLJ23499	chromosome 11 open reading frame 1 (C11orf1), mRNA.	G0/1 arrest	1110032A03Rik
ENSG00000116857	NM_016456	TMEM9	252839	TMEM9A	transmembrane protein 9 (TMEM9), mRNA.	G0/1 arrest	Tmem9
ENSG00000118482	NM_015153	PHF3	23469	KIAA0244, MGC142210, MGC142212	PHD finger protein 3 (PHF3), mRNA.	G0/1 arrest	Phf3
ENSG00000148344	NM_004878	PTGES	9536	PGES, PIG12, PP102, PP1294, MGST-IV,MGST1L1, TP53I12, MGC10317, MGST1-L1	prostaglandin E synthase (PTGES), mRNA.	G0/1 arrest	Ptges
ENSG00000008513	NM_003033	ST3GAL1	6482	ST3O, SIAT4A, SIATFL, MGC9183, ST3GalIA,Gal-NAc6S, ST3GalA.1	ST3 beta-galactoside alpha-2,3-sialyltransferase 1 (ST3GAL1), transcript variant 1, mRNA.	G0/1 arrest	St3gal1
ENSG00000083290	NM_014683	ULK2	9706	Unc51.2, KIAA0623	unc-51-like kinase 2 (C. elegans) (ULK2), mRNA.	G0/1 arrest	Ulk2
ENSG00000108671	NM_002815	PSMD11	5717	S9, p44.5, MGC3844	proteasome (prosome, macropain) 26S subunit, non-ATPase, 11 (PSMD11), mRNA.	G0/1 arrest	Psmd11
ENSG00000095139	NM_001655	ARCN1	372	COPD	archain 1 (ARCN1), mRNA.	G0/1 arrest	Arcn1
ENSG00000127920	NM_004126	GNG11	2791	GNGT11	guanine nucleotide binding protein (G protein), gamma 11 (GNG11), mRNA.	G0/1 arrest	Gng11
ENSG00000103342	NM_002094	GSPT1	2935	GST1, ETF3A, eRF3a, 551G9.2	G1 to S phase transition 1 (GSPT1), mRNA.	G0/1 arrest	Gspt1
ENSG00000143384	NM_182763	MCL1	4170	TM, EAT, MCL1L, MCL1S, MGC1839,MGC104264	myeloid cell leukemia sequence 1 (BCL2-related) (MCL1), transcript variant 2, mRNA.	G0/1 arrest	Mcl1
ENSG00000106799	NM_004612	TGFBR1	7046	SKR4, ALK-5, TGFR-1, ACVRLK4	transforming growth factor, beta receptor I (activin A receptor type II-like kinase, 53kDa) (TGFBR1), mRNA.	G0/1 arrest	Tgfbr1
ENSG00000065029	NM_003427	ZNF76	7629	ZNF523, Zfp523, D6S229E	zinc finger protein 76 (expressed in testis) (ZNF76), mRNA.	G0/1 arrest	Zfp523
ENSG00000184432	NM_004766	COPB2	9276	beta'-COP	coatomer protein complex, subunit beta 2 (beta prime) (COPB2), mRNA.	G0/1 arrest	Copb2
ENSG00000115380	NM_001039349	EFEMP1	2202	DHRD, DRAD, FBNL, MLVT, MTLV, S1-5,FBLN3, FLJ35535, MGC111353	EGF-containing fibulin-like extracellular matrix protein 1 (EFEMP1), transcript variant 3, mRNA.	G0/1 arrest	Efemp1
ENSG00000011422	NM_001005376,NM_001005377,NM_002659	PLAUR	5329	CD87, UPAR, URKR	plasminogen activator, urokinase receptor (PLAUR), transcript variant 2, mRNA.	G0/1 arrest	Plaur
ENSG00000163755	NM_032383	HPS3	84343	SUTAL, FLJ22704, DKFZp686F0413	Hermansky-Pudlak syndrome 3 (HPS3), mRNA.	G0/1 arrest	Hps3
ENSG00000161057	NM_002803	PSMC2	5701	S7, MSS1, MGC3004, Nbla10058	proteasome (prosome, macropain) 26S subunit, ATPase, 2 (PSMC2), mRNA.	G0/1 arrest	Psmc2
ENSG00000198176	NM_007111	TFDP1	7027	DP1, Dp-1, DRTF1	transcription factor Dp-1 (TFDP1), mRNA.	G0/1 arrest	Tfdp1
